timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-06-21T00:00:00.000Z";"2024-06-21T23:59:59.999Z";"2024-06-21T23:05:00.000Z";"2024-06-21T18:10:00.000Z";"2781";133.4719482456;135.2291612374;128.921928139;134.5882978678;2214701928.27;62180434898.68;"2024-06-21T23:59:59.999Z"
"2024-06-20T00:00:00.000Z";"2024-06-20T23:59:59.999Z";"2024-06-20T11:22:00.000Z";"2024-06-20T16:10:00.000Z";"2781";135.6095991661;141.0752441897;132.0876404304;133.4729589257;2343938225.83;61666371309.37;"2024-06-20T23:59:59.999Z"
"2024-06-19T00:00:00.000Z";"2024-06-19T23:59:59.999Z";"2024-06-19T07:08:00.000Z";"2024-06-19T23:40:00.000Z";"2781";137.4798130549;141.6699353477;134.7326338813;135.6095991661;2241396569.16;62638032857.66;"2024-06-19T23:59:59.999Z"
"2024-06-18T00:00:00.000Z";"2024-06-18T23:59:59.999Z";"2024-06-18T00:04:00.000Z";"2024-06-18T01:46:00.000Z";"2781";143.3146918681;143.6106570791;130.2890764809;137.5040020493;4046511952.22;63514126393.22;"2024-06-18T23:59:59.999Z"
"2024-06-17T00:00:00.000Z";"2024-06-17T23:59:59.999Z";"2024-06-17T00:38:00.000Z";"2024-06-17T16:22:00.000Z";"2781";151.1372449287;151.584771967;140.1388057562;143.3342740078;2244770231.85;66191148891.43;"2024-06-17T23:59:59.999Z"
"2024-06-16T00:00:00.000Z";"2024-06-16T23:59:59.999Z";"2024-06-16T23:59:00.000Z";"2024-06-16T05:01:00.000Z";"2781";145.4179694094;151.1255055499;143.1795295741;151.1255055499;1147997522.98;69790883511.71;"2024-06-16T23:59:59.999Z"
"2024-06-15T00:00:00.000Z";"2024-06-15T23:59:59.999Z";"2024-06-15T16:10:00.000Z";"2024-06-15T00:03:00.000Z";"2781";143.0740795525;145.5409664114;143.0236477981;145.4122127329;1065293341.3;67135628936.05;"2024-06-15T23:59:59.999Z"
"2024-06-14T00:00:00.000Z";"2024-06-14T23:59:59.999Z";"2024-06-14T12:27:00.000Z";"2024-06-14T18:25:00.000Z";"2781";147.2820499155;148.789333523;140.1153818083;143.0944439206;2330458882.92;66063660586.18;"2024-06-14T23:59:59.999Z"
"2024-06-13T00:00:00.000Z";"2024-06-13T23:59:59.999Z";"2024-06-13T00:00:00.000Z";"2024-06-13T21:29:00.000Z";"2781";155.1923563232;155.1923563232;146.1722417703;147.3144174591;2085097654.61;67991620183.62;"2024-06-13T23:59:59.999Z"
"2024-06-12T00:00:00.000Z";"2024-06-12T23:59:59.999Z";"2024-06-12T13:10:00.000Z";"2024-06-12T01:43:00.000Z";"2781";149.4223158207;161.5148302078;145.8214476202;155.1775713526;2853692260.38;71622233955.58;"2024-06-12T23:59:59.999Z"
"2024-06-11T00:00:00.000Z";"2024-06-11T23:59:59.999Z";"2024-06-11T00:25:00.000Z";"2024-06-11T17:24:00.000Z";"2781";158.9341246721;159.5231055133;145.8651848764;149.4289932692;2812642452.69;68878680459.16;"2024-06-11T23:59:59.999Z"
"2024-06-10T00:00:00.000Z";"2024-06-10T23:59:59.999Z";"2024-06-10T15:56:00.000Z";"2024-06-10T08:01:00.000Z";"2781";162.0788916464;162.8277550825;157.7702086234;158.9280300351;1815361482.27;73230549879.66;"2024-06-10T23:59:59.999Z"
"2024-06-09T00:00:00.000Z";"2024-06-09T23:59:59.999Z";"2024-06-09T19:12:00.000Z";"2024-06-09T03:28:00.000Z";"2781";157.9637109108;162.9189728838;156.7687625825;162.0835975651;1475878150.83;74686342403.05;"2024-06-09T23:59:59.999Z"
"2024-06-08T00:00:00.000Z";"2024-06-08T23:59:59.999Z";"2024-06-08T07:31:00.000Z";"2024-06-08T22:30:00.000Z";"2781";162.4967471481;163.6201812499;157.5429488931;157.9689084524;1722237785.03;72755220354.27;"2024-06-08T23:59:59.999Z"
"2024-06-07T00:00:00.000Z";"2024-06-07T23:59:59.999Z";"2024-06-07T12:07:00.000Z";"2024-06-07T18:16:00.000Z";"2781";170.0158352697;172.438159952;155.7987696402;162.5070418192;3298527574.53;74847158591.8;"2024-06-07T23:59:59.999Z"
"2024-06-06T00:00:00.000Z";"2024-06-06T23:59:59.999Z";"2024-06-06T02:34:00.000Z";"2024-06-06T20:04:00.000Z";"2781";173.4829153707;174.3047028682;167.8642113974;170.0162241931;1965442992.93;78192167337.2;"2024-06-06T23:59:59.999Z"
"2024-06-05T00:00:00.000Z";"2024-06-05T23:59:59.999Z";"2024-06-05T16:14:00.000Z";"2024-06-05T00:50:00.000Z";"2781";171.8019205191;175.4753133767;171.3829967956;173.4829153707;2405906612.48;79788482654.49;"2024-06-05T23:59:59.999Z"
